Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1577750400000,0.00201900,0.00202990,0.00198620,0.00201350,131083309.00000000,1577836799999,263669.54387290,1701,66332079.00000000,133493.40385520,0
1577836800000,0.00201360,0.00203900,0.00200010,0.00202450,31462868.00000000,1577923199999,63641.72435880,594,15348147.00000000,31023.05702350,0
1577923200000,0.00202450,0.00204000,0.00194850,0.00199510,191887309.00000000,1578009599999,383678.68362100,3047,102172168.00000000,204688.96780200,0
1578009600000,0.00199860,0.00203590,0.00196750,0.00202360,109005714.00000000,1578095999999,219205.87201540,1585,56166206.00000000,112959.68022050,0
1578096000000,0.00201850,0.00210350,0.00201500,0.00205790,123468609.00000000,1578182399999,252973.41964840,1739,70521098.00000000,144561.89829310,0
1578182400000,0.00205890,0.00209220,0.00203610,0.00206960,66437147.00000000,1578268799999,137479.87486340,1381,31852955.00000000,65947.57388200,0
1578268800000,0.00207220,0.00213450,0.00206920,0.00213440,108507039.00000000,1578355199999,228574.11715200,2069,59217977.00000000,124803.57675350,0
1578355200000,0.00213330,0.00218470,0.00207770,0.00217500,121470207.00000000,1578441599999,260701.16277820,2594,56593615.00000000,121419.30906710,0
1578441600000,0.00216870,0.00222630,0.00207010,0.00208860,205791636.00000000,1578527999999,445699.47912680,3049,92466492.00000000,200579.36117420,0
1578528000000,0.00209340,0.00216330,0.00206420,0.00212820,80515080.00000000,1578614399999,170069.03574420,1607,36239021.00000000,76549.00678300,0
1578614400000,0.00213230,0.00220240,0.00209830,0.00219730,222205607.00000000,1578700799999,479342.40529650,2424,112086291.00000000,241673.10721340,0
1578700800000,0.00220070,0.00222500,0.00216510,0.00217540,94223943.00000000,1578787199999,206824.57625700,1601,52429060.00000000,115152.80457050,0
